OBJECTID,IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO_Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors,CollisionYear,CityCrash
1,24448943,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0060,,US60,,E,,,,,,,37.85750616,-87.57297769,10.291,2019-01-03,741,2,2,0,0,CLOUDY,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & GRADE,DAYLIGHT,,,43468.5303,False,67,Accepted,5,5,O,,INATTENTION,,2019,1
4,24458336,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,1700,GREEN,ST,S,,,,,,,37.81595379,-87.61505967,13.655,2019-01-04,1714,2,2,0,0,RAINING,WET,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43470.76245,False,25,Accepted,5,5,O,,"DISTRACTION, FAILED TO YIELD RIGHT OF WAY, INATTENTION",,2019,1
6,24466530,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,KY0351,1700,2ND,ST,,,,,,,,37.83208082,-87.57096235,1.086,2019-01-02,1510,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,43472.79028,False,64,Accepted,5,5,O,,INATTENTION,BRAKES DEFECTIVE,2019,1
7,24466531,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,MEADOW,ST,,,,,,,,37.82982687,-87.58297458,0.485,2019-01-06,1452,2,2,0,0,CLEAR,DRY,False,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,43472.79032,False,50,Accepted,5,5,O,,,BRAKES DEFECTIVE,2019,1
8,24466566,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,629,GREEN,ST,S,,,,,,,37.8307984,-87.59618643,15.194,2019-01-05,2056,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43472.80536,False,50,Accepted,5,5,O,,"FATIGUE, NOT UNDER PROPER CONTROL",,2019,1
9,24467781,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,1800,US41,,N,,,,,,,37.86147813,-87.575456,16.37,2019-01-06,1055,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,43473.2867,False,67,Accepted,5,5,O,,INATTENTION,,2019,1
10,24469178,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,,GREEN,ST,S,,KRESGE,,,,,37.81613323,-87.61473019,13.672,2019-01-05,1137,2,2,0,0,CLEAR,DRY,False,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,43473.41563,False,26,Accepted,5,5,O,,INATTENTION,,2019,1
14,24473011,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041,2000,US41,,N,,,,,,,37.87423566,-87.56849118,17.322,2019-01-07,1726,3,3,0,0,CLOUDY,WET,False,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,43473.97846,False,46,Accepted,5,5,O,,INATTENTION,,2019,1
15,24477865,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,US0041A,700,GREEN,ST,S,,,,,,,37.83040951,-87.59669059,15.17,2019-01-08,1837,1,1,0,0,CLEAR,DRY,False,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK (UNKNOWN ROADWAY LIGHTING),,,43474.72029,False,64,Accepted,5,5,O,,ALCOHOL INVOLVEMENT,,2019,1
16,24477867,0510100,HENDERSON POLICE DEPARTMENT,Accepted,HENDERSON,,,POWELL,ST,,,ADAMS,,,,,37.83365664,-87.58953818,0.455,2019-01-08,1610,2,2,0,2,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,43474.72053,False,64,Accepted,4,4,C,GLARE (SUN),INATTENTION,,2019,1
